[2458] (-3.709394, -4.569172) = 
[2459] (-1.180602, -11.017814) = 
[2460] (8.980372, -9.780390) = 
[2461] (8.919132, 1.667572) = 
[2462] (-3.736566, 7.381259) = 
[2463] (-16.019514, -12.989052) = 
[7776] (-3.696072, 0.329142) = 
[7777] (-3.442519, -3.652807) = 
[7778] (-0.150359, -2.214556) = 
[7779] (-1.654301, -0.414300) = 
[7780] (-3.592499, -3.477506) = 
[7781] (-0.606229, -6.830653) = 
[7782] (3.635053, -4.205773) = 
[7783] (4.421742, -0.178761) = 
[7784] (2.386583, 2.164368) = 
[7785] (-0.056362, 1.794532) = 
[7786] (-0.197741, 0.232640) = 
[7787] (1.187816, 0.119614) = 
[7788] (1.060168, 1.788327) = 
[7789] (-0.969371, 1.673923) = 
[7790] (-0.739666, -0.643174) = 
[7791] (1.435421, -0.421741) = 
[7792] (1.993662, 1.657904) = 
[7793] (0.303389, 1.135238) = 
[7794] (2.059945, -0.845811) = 
[7795] (6.187164, 2.175618) = 
[7796] (4.735314, 10.433112) = 
[7797] (-3.626882, 11.476494) = 
[7798] (-10.331116, 5.448900) = 
[7799] (-10.713630, -3.056154) = 
[7800] (3155.759521, -711.275513) = 
[7801] (-28.797199, 372.781952) = 
[7802] (-194.968094, 293.668091) = 
[7803] (-175.530533, 213.181366) = 
[7804] (-226.312805, 210.582794) = 
[7805] (-405.328430, 50.372509) = 
[7806] (-419.004089, -166.998871) = 
[7807] (-149.118179, -386.912292) = 
[2016] (1242.067139, -438.325317) = 
[2017] (696.163696, 321.664246) = 
[2018] (178.684235, -521.817139) = 
[2019] (1618.859375, -993.111450) = 
[2020] (2807.821533, 443.528473) = 
[2021] (1597.968994, 2295.719971) = 
[2022] (-865.369080, 2875.740234) = 
[2023] (-1926.158936, 769.694458) = 
[2024] (-968.761841, -481.295471) = 
[2025] (79.525368, -350.783142) = 
[2026] (109.840454, 181.636200) = 
[2027] (-139.089005, 198.743332) = 
[2028] (-226.055374, 39.381840) = 
[2029] (-85.370628, 34.214821) = 
[2030] (-66.384956, 72.515785) = 
[2031] (-99.572960, 25.767874) = 
[2032] (-80.717422, -49.840626) = 
[2033] (-66.884750, -122.124245) = 
[2034] (72.155762, -158.140991) = 
[2035] (206.970993, -48.188629) = 
[2036] (159.233185, 103.241592) = 
[2037] (2.100975, 170.613892) = 
[2038] (-75.076691, 59.279346) = 
[2039] (-32.959526, -5.561519) = 
[2040] (0.325400, -2.893260) = 
[2041] (-0.625344, -3.094184) = 
[2042] (8.353601, -11.177122) = 
[2043] (22.293661, -3.484855) = 
[2044] (11.435149, -4.786528) = 
[2045] (12.361494, -26.099363) = 
[2046] (42.673008, -29.897150) = 
[2047] (58.089569, 9.988540) = 
[10496] (0.976894, 3.828336) = 
[10497] (0.344838, 5.039127) = 
[10498] (-1.493005, 4.647186) = 
[10499] (-3.679571, 2.696428) = 
[10500] (-2.729788, 0.653188) = 
[10501] (1.298120, -1.899952) = 
[10502] (4.069224, 2.407102) = 
[10503] (0.311789, 6.680571) = 
[10504] (-4.892541, 3.489079) = 
[10505] (-1.381470, -2.728926) = 
[10506] (4.312161, -1.488844) = 
[10507] (4.632991, 4.076851) = 
[10508] (0.029522, 5.498034) = 
[10509] (-1.904228, 2.768051) = 
[10510] (0.429718, 1.058399) = 
[10511] (0.993181, 2.388125) = 
[10512] (0.174066, 2.718817) = 
[10513] (-0.714372, 1.724037) = 
[10514] (-0.927255, 0.662152) = 
[10515] (-0.424810, 0.198172) = 
[10516] (-0.018331, -0.003735) = 
[10517] (-0.113510, -0.169488) = 
[10518] (0.148941, -0.948620) = 
[10519] (1.570717, -0.969900) = 
[10520] (1.473676, 0.867593) = 
[10521] (-0.697632, 1.249165) = 
[10522] (-1.924253, -1.257182) = 
[10523] (0.250573, -3.018892) = 
[10524] (2.185135, -1.703115) = 
[10525] (-0.107229, 0.211683) = 
[10526] (-1.763359, -2.176517) = 
[10527] (-0.732704, -4.593362) = 
[1568] (1944.756714, -119.140945) = 
[1569] (1092.486328, 256.203674) = 
[1570] (870.278870, -327.177551) = 
[1571] (1369.843750, -426.266052) = 
[1572] (1052.046509, 345.437683) = 
[1573] (710.810730, 551.010803) = 
[1574] (306.890961, 494.806793) = 
[1575] (120.456718, 396.237946) = 
[1576] (-212.782883, 195.949493) = 
[1577] (-236.953140, -252.216553) = 
[1578] (105.149445, -490.245178) = 
[1579] (395.159698, -205.191132) = 
[1580] (279.785767, 53.834480) = 
[1581] (103.886642, 13.259121) = 
[1582] (110.139679, -44.285713) = 
[1583] (100.341087, -13.770449) = 
[1584] (41.869976, 14.490812) = 
[1585] (10.010036, -1.177965) = 
[1586] (-13.277409, 5.558896) = 
[1587] (-53.686882, -6.247521) = 
[1588] (-81.297928, -46.259136) = 
[1589] (-66.863121, -84.448921) = 
[1590] (-49.631115, -107.152664) = 
[1591] (13.158429, -114.812263) = 
[1592] (66.735077, -41.151272) = 
[1593] (24.126175, 81.769287) = 
[1594] (-106.947853, 58.354584) = 
[1595] (-124.682129, -52.890324) = 
[1596] (-41.242298, -52.546032) = 
[1597] (-66.489868, 15.015254) = 
[1598] (-109.890106, 16.406696) = 
[1599] (-80.801971, -46.749195) = 
[2272] (31.466576, 5.957169) = 
[2273] (27.431572, 25.284624) = 
[2274] (10.884249, 25.011715) = 
[2275] (5549.885254, -10338.005859) = 
[2276] (-913.369934, 2980.732422) = 
[2277] (-1937.413086, 1911.552979) = 
[2278] (-2472.791016, 342.497894) = 
[2279] (-1653.174194, -253.326553) = 
[2280] (-423.402863, -497.482239) = 
[2281] (-205.836456, 384.975281) = 
[2282] (-735.682068, 439.027222) = 
[2283] (-764.368408, -188.203262) = 
[2284] (-46.796860, -341.113007) = 
[2285] (77.793655, 299.638397) = 
[2286] (-395.987518, 602.142029) = 
[2287] (-734.242798, 178.749191) = 
[2288] (-502.840454, -268.668152) = 
[2289] (-115.159088, -264.744110) = 
[2290] (-37.828144, -65.440300) = 
[2291] (-70.712440, 25.910856) = 
[2292] (-109.166840, 28.951187) = 
[2293] (-141.284103, -21.722824) = 
[2294] (-113.792961, -32.641819) = 
[2295] (-48.561375, -53.503204) = 
[2296] (-22.325747, -4.653782) = 
[2297] (-41.755283, 6.315657) = 
[2298] (-37.961498, -19.308216) = 
[2299] (-1.125017, -20.674870) = 
[2300] (3.240497, 0.477556) = 
[2301] (1.939046, -5.306174) = 
[2302] (25.006954, -9.040177) = 
[2303] (38.139091, 17.593801) = 
[224] (673.595520, 644.892334) = 
[225] (388.992767, 850.067993) = 
[226] (-350.193817, 773.030457) = 
[227] (-839.890015, -173.115906) = 
[228] (23.425076, -1446.126587) = 
[229] (1611.306519, -1054.521729) = 
[230] (1747.922119, 151.375381) = 
[231] (837.857117, 283.064728) = 
[232] (1072.060059, -139.201950) = 
[233] (1357.993530, 466.031158) = 
[234] (750.822266, 1190.628784) = 
[235] (-111.407944, 389.131409) = 
